Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
Берсенева Н.Я.;Геолого-геофизическая интерпретация при поисках зон нефтегазонакопления в Оморинском районе Восточной Сибири;2010;;;Нефтегазовая геология. Теория и практика;статья;ВС;;;тектоника, нефтегазоносность;Берсенева Н.Я. Геолого-геофизическая интерпретация при поисках зон нефтегазонакопления в Оморинском районе Восточной Сибири // Нефтегазовая геология. Теория и практика, т. 5, № 4, 2010.
Бирюкова М.А.;Корреляция и фациальные особенности отложений оскобинской свиты юго-западного склона Байктиской антеклизы;2009;;;Нефтегазовая геология. Теория и практика;статья;ВС;венд;;литология, ГИС;Бирюкова М.А. Корреляция и фациальные особенности отложений оскобинской свиты юго-западного склона Байктиской антеклизы // Нефтегазовая геология. Теория и практика, № 4, 2009.
Бондаренко С.А.;Факторы, влияющие на характер распределения осадка по крупности зерна (район южной части хребта Ломоносова);2010;;Тр. ВНИИОкеанология;Геолого-геофизические характеристики литосферы Арктического региона;статья;;;;;Бондаренко С.А. Факторы, влияющие на характер распределения осадка по крупности зерна (район южной части хребта Ломоносова) // Геолого-геофизические характеристики литосферы Арктического региона. Вып. 7. Тр. ВНИИОкеанология. Т. 210. С. 67-70.
Башарин А.К., Беляев С.Ю., Хоменко А.В.;Северо-азиатский кратон и Сибирская платформа: современная структура;2005;т.24, с.3-15;;Тихоокеанская геология ;статья;ВС;;;тектоника;Башарин А.К., Беляев С.Ю., Хоменко А.В. Северо-азиатский кратон и Сибирская платформа: современная структура // Тихоокеанская геология, 2005, т. 24, № 6, с. 3-15.
Бейзель А.Л. ;Модель формирования нефтегазового резервуара на основе концепции географического цикла;2010;;;Известия Томского политехнического университета;статья;ВС;;;литология, нефтегазоносность;Бейзель А.Л.  Модель формирования нефтегазового резервуара на основе концепции географического цикла // Известия Томского политехнического университета, 2010, т. 316, № 1, С. 52-57.
Балдин В.А., Кунин К.Н., Кунин Н.Я.;Новые представления о строении и генезисе диагональной системы мегавалов в Енисей-Хатангском прогибе;1997;;;Геология нефти и газа;статья;;;;;Балдин В.А., Кунин К.Н., Кунин Н.Я. Новые представления о строении и генезисе диагональной системы мегавалов в Енисей-Хатангском прогибе // Геология нефти и газа, 1997, № 3, с.26-34.
Гафуров Д.О., Ефимов А.С., Конторович А.А., Красильникова Н.Б., Гафуров О.М., Пономаренко З.Ф. ;Построение литофациальной модели Талаканского месторождения на основе комплексирования данных ГИС и сейсморазведки обучаемыми нейронными сетями ;;;;;;;;;геологическое моделирование, ГИС;Гафуров Д.О., Ефимов А.С., Конторович А.А., Красильникова Н.Б., Гафуров О.М., Пономаренко З.Ф. Построение литофациальной модели Талаканского месторождения на основе комплексирования данных ГИС и сейсморазведки обучаемыми нейронными сетями // Издательство, год?
Головин С.В.;Классификация нефтегазоносных комплексов мезозоя Енисей-Хатангского прогиба;2009;;;Нефтегазовая геология. Теория и практика;статья;Енисей-Хатангский прогиб;мезозой;;литология, корреляция, свита, НГК, отложения, перспективы, прогиб, схема;Головин С.В. Классификация нефтегазоносных комплексов мезозоя Енисей-Хатангского прогиба // Нефтегазовая геология. Теория и практика. 2009, № 12 (4), с.1-21.
Гордиенко И.В.;Вулканизм различных геодинамических обстановок Центрально-Азиатского складчатого пояса;2004;;;Литосфера;статья;;;;тектоника, вулканизм, геодинамические обстановки, офиолиты, островные дуги, активные континентальные окраины, Палеоазиатский океан, Сибирский континент;Гордиенко И.В. Вулканизм различных геодинамических обстановок Центрально-Азиатского складчатого пояса // Литосфера, № 3, 2004, с. 4-16.
Горлов И.В., Качинскас И.В., Санькова Н.В.;Планирование разведки залежей в терригенных пластах венда на Оморинском лицензионном участке;2012;;;Нефтегазовая геология. Теория и практика;статья;ВС;венд;;нефтегазоносность, терригенный пласт, фации, трещиноватость, испытание объектов в скважинах, Оморинский ЛУ;Планирование разведки залежей в терригенных пластах венда на Оморинском лицензионном участке / И.В. Горлов, И.В. Качинскас, Н.В. Санькова // Нефтегазовая геология. Теория и практика, т. 7, № 1, 2012.
Граусман В.В.;Отложения верхнего докембрия Оленекского поднятия по материалам глубокого бурения;1995;;;Тихоокеанская геология;;;;;стратиграфия;Граусман В.В. Отложения верхнего докембрия Оленекского поднятия по материалам глубокого бурения // Тихоокеанская геология, 1995, т. 14, № 4, с. 133-136.
Граусман В.В.;Геологический разрез Усть-Оленекской скв. 2370 (инт. 3605-2700);1995;;;Тихоокеанская геология;;;;;стратиграфия;Граусман В.В. Геологический разрез Усть-Оленекской скв. 2370 (инт. 3605-2700) // Тихоокеанская геология, 1995, т. 14, с. 137-140.
Граусман В.В., Рудакавская В.А., Васильева Н.И.;Стратиграфия верхнего докембрия и нижнего кембрия Оленекского поднятия;1996;;;Отечественная геология;;;;;стратиграфия;Граусман В.В., Рудакавская В.А., Васильева Н.И. Стратиграфия верхнего докембрия и нижнего кембрия Оленекского поднятия // Отечественная геология, 1996, № 8, с. 30-35
Григоренко Ю.Н., Прищепа О.М., Соболев В.С., Жукова Л.И.;Ареалы углеводородонакопления как основа развития нефтедобычи в Российской Арктике;2012;;;Нефтегазовая геология. Теория и практика;статья;Арктика;;нефть, газ;Углеводороды, ареалы, центры, нефтедобыча, акватории, Арктика, крупнейшие месторождения;Григоренко Ю.Н., Прищепа О.М., Соболев В.С., Жукова Л.И. Ареалы углеводородонакопления как основа развития нефтедобычи в Российской Арктике // Нефтегазовая геология. Теория и практика. 2012, т. 7, № 2
Грязнухина-Степанова В.Р.;Анализ состояния сырьевой базы и перспективы развития добычи нефти и газа в Республике Саха (Якутия);2012;;;Нефтегазовая геология. Теория и практика;статья;ВС;;;;Грязнухина-Степанова В.Р. Анализ состояния сырьевой базы и перспективы развития добычи нефти и газа в Республике Саха (Якутия) // Нефтегазовая геология. Теория и практика, 2012, т. 7, № 3.
Губина Е.А.;Перспективные объекты нефтегазопоисков в венд-нижнекембрийских карбонатных отложениях Непско-Ботуобинской антеклизы;2012;;;Нефтегазовая геология. Теория и практика;статья;ВС;венд, нижний кембрий;нефть, газ;литология, нефтегазоносность, карбонатные отложения, обстановки осадконакопления, ФЕС, объекты нефтегазопоисков, НБА;Губина Е.А. Перспективные объекты нефтегазопоисков в венд-нижнекембрийских карбонатных отложениях Непско-Ботуобинской антеклизы // Нефтегазовая геология. Теория и практика, № 3, т. 7, 2012.
Ефимов А.С., Герт А.А., Мельников П.Н., Старосельцев В.С., Вымятин А.А., Акимов В.Г., Черепанова И.И., Бражникова М.В.;О состоянии и перспективах ресурсной базы углеводородов, геолого-разведочных работ и лицензировании недр Восточной Сибири и Республики Саха (Якутия);2012;;;Геология нефти и газа;статья;ВС, Якутия;;нефть, газ;экономика, нефтегазоносность, ГРР, лицензирование недр, ресурсная база, УВ;Ефимов А.С., Герт А.А., Мельников П.Н., Старосельцев В.С., Вымятин А.А., Акимов В.Г., Черепанова И.И., Бражникова М.В. О состоянии и перспективах ресурсной базы углеводородов, геолого-разведочных работ и лицензировании недр Восточной Сибири и Республики Саха (Якутия) // Геология нефти и газа, № 5, 2012, с. 57-74
Ефимов А.С., Смирнов М.Ю., Берилко Г.А., Смирнов Е.В., Карташов А.А., Мельников Н.В.;"Обобщение результатов анализа геологических и сейсмических данных в пределах Сибирской платформы по территории, обеспечивающей прирост запасов углеводородного сырья для нефтепровода ""Восточная Сибирь-Тихий океан""";2010;;;Геология и минерально-сырьевые ресурсы Сибири;статья;;;;нефтегазоносность экономика;"Ефимов А.С., Смирнов М.Ю., Берилко Г.А., Смирнов Е.В., Карташов А.А., Мельников Н.В. Обобщение результатов анализа геологических и сейсмических данных в пределах Сибирской платформы по территории, обеспечивающей прирост запасов углеводородного сырья для нефтепровода ""Восточная Сибирь-Тихий океан"" // Геология и минерально-сырьевые ресурсы Сибири, 2010, № 1, с. 12-22"
Заварзина Г.А. ;Типы потенциальных ловушек углеводородов и их распространение в западной части шельфа моря Лаптевых;2012;;;Нефтегазовая геология. Теория и практика;статья;;;;осадочный бассейн, сейсмокомплекс, разрыв, сдвиг, сброс, взброс, горст, грабен, ловушка УВ, НГК, зона нефтегазонакопления;Заварзина Г.А. Типы потенциальных ловушек углеводородов и их распространение в западной части шельфа моря Лаптевых // Нефтегазовая геология. Теория и практика, 2012, т. 7, № 4.
Заварзина Г.А., Шкарубо С.И. ;Тектоника западной части шельфа моря Лаптевых ;2012;;;Нефтегазовая геология. Теория и практика;статья;;;;рифтогенез, тектонический блок, взброс, сброс, сдвиг, сбросо-сдвиг, Лаптевоморская плита;Заварзина Г.А., Шкарубо С.И. Тектоника западной части шельфа моря Лаптевых // Нефтегазовая геология. Теория и практика, 2012, т. 7, № 3.
Захаров В.А., Юдовный Е.Г.;Принципы послойной корреляции разрезов ритмичных терригенных толщ (на примере разреза неокома на р. Боярке, Хатангская впадина);1967;;Ленинград: Наука;Проблемы палеонтологического обоснования детальной стратиграфии мезозоя Сибири и Дальнего Востока.;статья;;;;;Захаров В.А., Юдовный Е.Г. Принципы послойной корреляции разрезов ритмичных терригенных толщ (на примере разреза неокома на р. Боярке, Хатангская впадина) // Проблемы палеонтологического обоснования детальной стратиграфии мезозоя Сибири и Дальнего Востока. К II Международному коллоквиуму по юрской системе (Люксембург, июль, 1967 г.). Ленинград: Наука. 1967, с. 28-40.
Конторович А.Э., Беляев С.Ю., Конторович А.А., Старосельцев В.С., Мандельбаум М.М., Мигурский А.В., Моисеев С.А., Сафронов А.Ф., Ситников В.С., Филипцов Ю.А., Хоменко А.В., Еремин Ю.Г., Быкова О.В. ;Тектоническая карта венд-нижнепалеозойского структурного яруса Лено-Тунгусской провинции Сибирской платформы ;2009;;;Геология и геофизика;статья;ВС;венд-кембрий;;осадочный чехол, нефтегазоносный комплекс, структурная карта, классификация, тектоническая карта, Сибирская платформа;Конторович А.Э., Беляев С.Ю., Конторович А.А., Старосельцев В.С., Мандельбаум М.М., Мигурский А.В., Моисеев С.А., Сафронов А.Ф., Ситников В.С., Филипцов Ю.А., Хоменко А.В., Еремин Ю.Г., Быкова О.В. Тектоническая карта венд-нижнепалеозойского структурного яруса Лено-Тунгусской провинции Сибирской платформы // Геология и геофизика, 2009, т. 50, № 8, с. 851-862
Конторович А.Э., Варламов А.И., Емешев В.Г., Ефимов А.С., Клец А.Г., Комаров А.В., Конторович В.А., Коровников И.В., Сараев С.В., Филиппов Ю.Ф., Вараксина И.В., Глинских В.Н., Лучинина В.А., Новожилова Н.В., Пегель Т.В., Сенников Н.В., Тимохин А.В. ;Новый тип разреза кембрия в восточной части Западно-Сибирской плиты (по результатам бурения параметрической скважины Восток-1);2008;;;Геология и геофизика;статья;ЗС;;;Западно-Сибирская плита, Предъенисейская нефтегазоносная субпровинция, кембрий;Конторович А.Э., Варламов А.И., Емешев В.Г., Ефимов А.С., Клец А.Г., Комаров А.В., Конторович В.А., Коровников И.В., Сараев С.В., Филиппов Ю.Ф., Вараксина И.В., Глинских В.Н., Лучинина В.А., Новожилова Н.В., Пегель Т.В., Сенников Н.В., Тимохин А.В. Новый тип разреза кембрия в восточной части Западно-Сибирской плиты (по результатам бурения параметрической скважины Восток-1) // Геология и геофизика, 2008, т. 49, № 11, с. 1119-1128
Конторович А.Э., Каширцев В.А., Москвин В.И., Бурштейн Л.М., Земская Т.И., Костырева Е.А., Калмычков Г.В., Хлыстов О.М. ;Нефтегазоносность отложений озера Байкал;2007;;;Геология и геофизика;статья;Восточная Сибирь;;;нефтегазоносность;Конторович А.Э., Каширцев В.А., Москвин В.И., Бурштейн Л.М., Земская Т.И., Костырева Е.А., Калмычков Г.В., Хлыстов О.М. Нефтегазоносность отложений озера Байкал // Геология и геофизика, 2007, т. 48, № 12, с. 1346-1356
Костырева Е.А., Фомин А.Н., Беляев С.Ю., Данилова В.П., Сараев С.В., Хромых В.Г., Фрадкина А.Ф.;Органическая геохимия палеозойских отложений Щучьинского выступа Полярного Урала;;;;;статья;ВС;девон;;геохимия, литология;Костырева Е.А., Фомин А.Н., Беляев С.Ю., Данилова В.П., Сараев С.В., Хромых В.Г., Фрадкина А.Ф. Органическая геохимия палеозойских отложений Щучьинского выступа Полярного Урала // Издательство, год? с. 127-131.
Кочнев Б.Б.;Обстановки осадконакопления ванаварской свиты венда Сибирской платформы;2007;;;Стратиграфия. Геологическая корреляция;статья;ВС;венд;;литология, стратиграфия, нефтегазоносность;Кочнев Б.Б. Обстановки осадконакопления ванаварской свиты венда Сибирской платформы // Стратиграфия. Геологическая корреляция, 2007, т. 15, № 5. С. 45-57.
Кочнев Б.Б., Наговицын К.Е., Файзуллин М.Ш.;Байкалий и венд Нижнего Приангарья;2007;;;Геология и геофизика;статья;Восточная Сибирь, Приангарье;венд;;литология, стратиграфия, нефтегазоносность;Кочнев Б.Б., Наговицын К.Е., Файзуллин М.Ш. Байкалий и венд нижнего Приангарья // Геология и геофизика, 2007, т. 48, № 11, с. 1201-1209.
Крючков В.Е., Медведев А.Г., Худорожков В.Г.;Литолого-седиментационные особенности строения Берямбинского газового месторождения в свзяи с переспективами нефтегазоносности межсолевых карбонатных отложений Сибирской платформы;2010;;;Геология нефти и газа;статья;ВС;;;литология, нефтегазоносность;Крючков В.Е., Медведев А.Г., Худорожков В.Г. Литолого-седиментационные особенности строения Берямбинского газового месторождения в связи с перспективами нефтегазоносности межсолевых карбонатных отложений Сибирской платформы // Геология нефти и газа, 2010, № 3, с. 45-51
Ларкин В.Н., Вальчак В.И.;Прогнозирование новых зон нефтегазонакопления на юго-западе Восточной Сибири;2007;;;Геология нефти и газа;статья;Восточная Сибирь;венд-кембрий;;тектоника, нефтегазоносность;Ларкин В.Н., Вальчак В.И. Прогнозирование новых зон нефтегазонакопления на юго-западе Восточной Сибири  //  Геология нефти и газа, 1-2007
Лебедев М.В.;Фациальная модель верхней части терригенных отложений венда северо-востока Непско-Ботуобинской нефтегазоносной области (Сибирская платформа);2013;;;Геология, геофизика и разработка нефтяных и газовых месторождений ;статья;Восточная Сибирь;венд;;литология, нефтегазоносность, моделирование;Лебедев М.В. Фациальная модель верхней части терригенных отложений венда северо-востока Непско-Ботуобинской нефтегазоносной области (Сибирская платформа) // Геология, геофизика и разработка нефтяных и газовых месторождений, 2013, № 11, с. 38-51
Лузин В.Ф., Коновалова Н.Г.;Фрагменты строения и развития южного обрамления Восточно-Сибирской платформы;2005;;ИГУ, Иркутск;;статья;ВС;;;тектоника, нефтегазоносность;Лузин В.Ф., Коновалова Н.Г. Фрагменты строения и развития южного обрамления Восточно-Сибирской платформы // Сб. научн. Тр. Геология и полезные ископаемые. Иркутск: ИГУ. 2005. С. 72-77.
Макаревич В.Н., Нехаев А.А. ;Литолого-стратиграфические особенности и палеогеографические условия седиментации осадочного чехла провинции Dezful (Иран);2012;;;Нефтегазовая геология. Теория и практика;статья;Иран;;;осадочный чехол, карбонатный коллектор, литология, стратиграфия;Макаревич В.Н., Нехаев А.А. Литолого-стратиграфические особенности и палеогеографические условия седиментации осадочного чехла провинции Dezful (Иран) // Нефтегазовая геология. Теория и практика, 2012, т. 7, № 3, с.1-9
Мандель А.Я., Зинченко И.А., Закальский В.М., Гудырина Г.П., Кирсанов Н.Н., Полозков К.А. ;Чаяндинское месторождение: шаги к промышленному освоению;;;;Газовая промышленность. Газ и нефть Востока России;;Восточная Сибирь;;;экономика;Мандель А.Я., Зинченко И.А., Закальский В.М., Гудырина Г.П., Кирсанов Н.Н., Полозков К.А. Чаяндинское месторождение: шаги к промышленному освоению // Газовая промышленность. с.53-55
Мандельбаум М.М. ;Непско-Ботуобинская антиклиза: история выявления, геология и перспективы освоения;2004;;;Геология, геофизика и разработка нефтяных и газовых месторождений ;статья;Восточная Сибирь;венд нижний кембрий;;литология стратиграфия;Мандельбаум М.М. Непско-Ботуобинская антиклиза: история выявления, геология и перспективы освоения // Геология, геофизика и разработка нефтяных и газовых месторождений, 2004, № 1. С. 28-41.
Маслов А.В., Гражданкин Д.В., Подковыров В.Н., Ишерская М.В., Крупенин М.Т., Петров Г.А., Ронкин Ю.Л., Гареев Э.З., Лепихина О.П. ;Состав питающих провинций и особенности геологической истории поздневендского форландового бассейна Тиманского орогена;2009;;Геохимия № 12 ;;статья;Урал;рифей венд;;литология стратиграфия ;Маслов А.В., Гражданкин Д.В., Подковыров В.Н., Ишерская М.В., Крупенин М.Т., Петров Г.А., Ронкин Ю.Л., Гареев Э.З., Лепихина О.П. Состав питающих провинций и особенности геологической истории поздневендского форландового бассейна Тиманского орогена // Геохимия, 2009, № 12, с. 1294-1318
Маслов А.В., Крупенин М.Т., Гареев Э.З. ;Литологические, литохимические и геохимические индикаторы палеоклимата (на примере рифея Южного Урала);2003;;Литология и полезные ископаемые;;статья;Южный Урал;рифей;;литология геохимия;Маслов А.В., Крупенин М.Т., Гареев Э.З. Литологические, литохимические и геохимические индикаторы палеоклимата (на примере рифея Южного Урала) // Литология и полезные ископаемые, 2003, № 5, с. 502-525.
Мельников Н.В., Колотова Л.В., Наумова Е.Г.;Талакан-Ботуобинская карбонатная платформа в осинском горизонте - крупный объект поисков залежей УВ на Сибирской платформе;2009;;СНИИГГиМС;;статья;ВС;;;литология, нефтегазоносность;Мельников Н.В., Колотова Л.В., Наумова Е.Г. Талакан-Ботуобинская карбонатная платформа в осинском горизонте – крупный объект поисков залежей углеводородов на Сибирской платформе // Тр. СНИИГГиМС 2009 С. 32-38
Мельников Н.В., Ситников В.С., Васильев В.И., Доронина С.И., Колотова Л.В. ;Органогенные постройки осинского горизонта нижнего кембрия в Талакан-Верхнечонской зоне нефтегазонакопления (Сибирская платформа);2005;;;Геология и геофизика;;;;;;Мельников Н.В., Ситников В.С., Васильев В.И., Доронина С.И., Колотова Л.В. Органогенные постройки осинского горизонта нижнего кембрия в Талакан-Верхнечонской зоне нефтегазонакопления (Сибирская платформа) // Геология и геофизика, 2005, т. 46, № 8, с. 856-864.
Мельников П.Н., Лебедева О.Н.;Продуктивные горизонты и перспективные на нефть участки северо-запада Непско-Ботуобинской антеклизы;2009;;СНИИГГиМС;;статья;ВС;;;литология, нефтегазоносность;Мельников П.Н., Лебедева О.Н. Продуктивные горизонты и перспективные на нефть участки северо-запада Непско-Ботуобинской антеклизы //  Труды СНИИГГиМС, 2009, с. 43-45.
Мигурский А.В.;Масштабные латеральные перемещения пород и флюидов на Сибирской платформе;2010;;;Геология и минерально-сырьевые ресурсы Сибири;статья;Восточная Сибирь;;;тектоника нефтегазоносность;Мигурский А.В. Масштабные латеральные перемещения пород и флюидов на Сибирской платформе // Геология и минерально-сырьевые ресурсы Сибири, 2010, № 1, с. 53-57.
Михайлов В.Н.;Речные дельты: строение, образование, эволюция;2001;;;Соросовский образовательный журнал;статья;;;;геология ;Михайлов В.Н. Речные дельты: строение, образование, эволюция // Соросовский образовательный журнал, т. 7, № 3, 2001, с. 59-66
Моисеев С.А., Соколова В.С., Константинова Л.Н. ;Построение емкостной модели проницаемого горизонта В10 юго-восточной части Байкитской антеклизы на основе сейсмических, геологических и петрофизических данных;2013;;;Геология, геофизика и разработка нефтяных и газовых месторождений;статья;Восточная Сибирь;;;;Моисеев С.А., Соколова В.С., Константинова Л.Н. Построение емкостной модели проницаемого горизонта В10 юго-восточной части Байкитской антеклизы на основе сейсмических, геологических и петрофизических данных // Геология, геофизика и разработка нефтяных и газовых месторождений, 2013, № 1, с. 30-33
Наговицин К.Е., Станевич А.М., Корнилова Т.А. ;Cтратиграфическое положение и возраст высокоорганизованных протерозойских ископаемых биот с Tappania в Сибири;2010;;;Геология и геофизика;статья;Восточная Сибирь;рифей;;стратиграфия;Наговицин К.Е., Станевич А.М., Корнилоав Т.А. Cтратигрфическое положение и возраст высокоорганизованных протерозойских ископаемых биот с Tappania в Сибири // Геология и геофизика, 2010, т. 51, № 11. С. 1531-1538.
Петров М.М., Александров А.Р., Сивцев А.И.;Надвиговые дислокации в Березовской впадине;2012;;;Нефтегазовое дело;статья;Восточная Сибирь, Березовская впадина;;;история геологического развития, надвиги, перспективы нефтегазоносности;Петров М.М., Александров А.Р., Сивцев А.И. Надвиговые дислокации в Березовской впадине // Нефтегазовое дело (эл. журнал), 2012, № 4, с. 502-513 
Подольский Ю.В., Маргулис Л.С.;Сырьевая база углеводородов Республики Саха (Якутия) ;2013;;;Нефтегазовая геология. Теория и практика;статья;ВС;;;углеводороды, начальные суммарные ресурсы, нефтегазовый потенциал, воспроизводство сырьевой базы, республика Саха (Якутия);Подольский Ю.В., Маргулис Л.С. Сырьевая база углеводородов Республики Саха (Якутия) // Нефтегазовая геология. Теория и практика, 2013, т. 8, № 2.
;Объемы хранимой информации ФБУ «ТФГИ по Сибирскому федеральному округу»(по состоянию на 01.01.2013г.);2013;;;;графика;Западная Сибирь, Восточная Сибирь, Горно-Алтайский филиал;;керн;;Объемы хранимой информации ФБУ «ТФГИ по Сибирскому федеральному округу»(по состоянию на 01.01.2013г.), 2013.
;История ОАО «Якутскгеофизика»;;;;;статья;Восточная Сибирь;;нефть, газ;;История ОАО «Якутскгеофизика» Автор, год?
Немировская И.А.;Нефтяные углеводороды в океане.;2008;;Природа;Природа;статья;;;УВ;;Немировская И.А. Нефтяные углеводороды в океане // Природа, 2008, № 3.
;.Ангаро-Ленское вскроют раньше срока. ;2010;;Таможня.ру;;статья;Восточная Сибирь;;;;Ангаро-Ленское вскроют раньше срока //  Таможня.ру, 2010
;Профили для построений по бюкской,курсовской свитам;;;;;текст;;;;;Профили для построений по бюкской,курсовской свитам.Автор, год?
Гуляев, Григорьева;Устранение проблем при корреляции продуктивных горизонтов на сейсморазведочных профилях со сложным волновым полем, связанных с надвиговой тектоникой.;2005;;"ОАО ""Якутскгеофизика""";;часть текста;Восточная Сибирь, Якутия;;;стратиграфия, тектоника;"Гуляев, Григорьева.Устранение проблем при корреляции продуктивных горизонтов на сейсморазведочных профилях со сложным волновым полем, связанных с надвиговой тектоникой // ОАО ""Якутскгеофизика"", 2005-2006"
Пащенко В.П.;"Расценки на услуги, оказываемые ФБУ ""ТФГИ по Сибирскому федеральному округу""";2012;;;;графика;Западная Сибирь;;;;"Пащенко В.П.Расценки на услуги, оказываемые ФБУ ""ТФГИ по Сибирскому федеральному округу"" // Томск, 2012"
;Рекомендации на работы по Енисей-Хатангскому прогибу и Анабаро-Хатангской седловины;;;;;статья;Восточная Сибирь;;;;Рекомендации на работы по Енисей-Хатангскому прогибу и Анабаро-Хатангской седловины.Автор, издательство, год?
;Рисунок без названия;;;;;графика;;;;;Рисунок без названия
;Российские недра;2007;;Российские недра;Российские недра;статья в газете;;;;;Российские недра // Отсканированная газета, 2007 , 5 ноября.
Конторович А.Э.;"Академик Конторович - о ""главном поясе нефтеносности"" Восточной Сибири";2010;;"Кемерово: РИА ""Сибирь""";;статья;Восточная Сибирь;;нефть;экономика;"Конторович А.Э.Академик Конторович - о ""главном поясе нефтеносности"" Восточной Сибири // Кемерово:РИА ""Сибирь"",  2010."
Малышев Н.А., Бородулин А.А., Обметко В.В,, Баринова Е.М., Исханов Б.И.;Характеристика основных нефтематеринских толщ пермско-кайнозойского интервала разреза и прогноз их распространения на шельфе моря Лаптевых.;;;;;статья;Арктический шельф;;;литология, нефтегазоносность, прогноз;"Малышев Н.А., Бородулин А.А., Обметко В.В,, Баринова Е.М., Исханов Б.И. Характеристика основных нефтематеринских толщ пермско-кайнозойского интервала разреза и прогноз их распространения на шельфе моря Лаптевых // ОАО ""НК ""Роснефть"". Год?"
;Краткая характеристика Среднеботуобинского нефтегазоконденсатного месторождения;;;;;текст;Восточная Сибирь;;;;Краткая характеристика Среднеботуобинского нефтегазоконденсатного месторождения. Автор, изд-во, год?
;Улаханский горизонт ;;;;;текст;Восточная Сибирь;;;;Улаханский горизонт .Автор, изд-во, год?
Хомизури Г.П.;Список используемой литературы к статье о Суркове В.С.;;;;;список литературы;;;;;Хомизури Г.П. Список используемой литературы к статье о Суркове В.С. Автор, изд-во, год?
;Литература. Опубликованная литература.;;;;;список литературы;;;;;Литература. Опубликованная литература.Автор, изд-во, год?
Поспеева Н.В., Егошин А.А., Севостьянов С.Ю., Петров М.А. ;Прогнозирование терригенных коллекторов в отложениях венда-нижнего кембрия на площадях Западной Якутии по данным невзрывной импульсной сейсморазведки и на основе сейсмического моделирования ;2010;;;Геология и минерально-сырьевые ресурсы Сибири;статья;Восточная Сибирь, Западная Якутия;венд, нижний кембрий;коллектора;невзрывная импульсная сейсморазведка, сейсмическое моделирование;Поспеева Н.В., Егошин А.А., Севостьянов С.Ю., Петров М.А. Прогнозирование терригенных коллекторов в отложениях венда-нижнего кембрия на площадях Западной Якутии по данным невзрывной импульсной сейсморазведки и на основе сейсмического моделирования //  Геология и минерально-сырьевые ресурсы Сибири, 2010, № 4,с.71-78
Мельников Н.В.;Информация о свитах Лено-Тунгусской НГП: кем и когда выделены;;;;;текст;Восточная Сибирь, Лено-Тунгусская НГО;;свиты;стратиграфия;Мельников Н.В. Информация о свитах Лено-Тунгусской НГП: кем и когда выделены . Изд-во, год?
Гуголь;Записи наблюдений за газопроявлениями в скважинах К-305, К-306. К-308. ;;;;;;Восточная Сибирь;;;;Гуголь. Записи наблюдений за газопроявлениями в скважинах К-305, К-306. К-308. Том 2. Автор, изд-во, год?
Копылова Т.Н.  ;Нефтеносность. История нефтепоисковых работ.Оленекский район.;;;;;;Восточная Сибирь, Оленекский район.;;;;Копылова Т.Н.  Нефтеносность. История нефтепоисковых работ. Оленекский район. Издательство, год?
