Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
Левянт В.Б., Хромова И.Ю., Козлов Е.А.,Керусов И.Н., Кащеев Д.Е., Колесов В.В., Мармалевский Н.Я.;Морфоструктура суши;2006;;Горно-Алтайск:Горно-Алтайский государственный университет;;словарь-справочник;;;;геоморфология; Мананкова Т. И. Морфоструктура суш / Словарь-справочник //  Горно-Алтайск: Горно-Алтайский государственный университет, 2006, 126 с.
Леонов Ю.Г., Волож Ю.А.;Шарьяжно-надвиговая тектоника;2005;;Иркутск: Иркутский государственный университет;;учебное пособие;;;;тектоника;Сизых В.И., Сизых А.И. Шарьяжно-надвиговая тектоника / Учебное пособие // Иркутск: Иркутский государственный университет, 2005, с.196
Мазур И.И., Лобов А.;Лекции Красавчикова на примере пакета Surfer;2005;;;;;;;;;Лекции Красавчикова на примере пакета Surfer // 2005
Маслов А.В., Гареев Э.З., Крупенин М.Т.;Осадочные бассейны: методика изучения, строение и эволюция;2004;;М.:Научный мир;;монография;;;;геология, литология, геодинамика;Леонов Ю.Г., Волож Ю.А. Осадочные бассейны: методика изучения, строение и эволюция / Труды ГИН РАН, вып.543  //  М.: Научный мир, 2004, с. 526 
Мейен С.В. ;Нефть и газ. Мировая история;2004;;" М.: Издательский дом ""Земля и человек.XXI век"", ИЦ "" Елима"" ";;монография;;;;геология нефтегазоносность;"Мазур И.И., Лобов А. Нефть и газ.Мировая история // М.: Изд. Дом ""Земля и человек XXI век"". ИЦ ""Елима"", 2004, с.896"
Прусская С.Н.;Климат в эпохи крупных биосферных перестроек;2004;;М.:Наука;;монография;;;;геология;Семихатов М.А., Чумаков Н.М. Климат в эпохи крупных биосферных перестроек. Труды ГИН РАН, вып.550 // М.: Наука, 2004, с.299
Семихатов М.А., Чумаков Н.М.;Арал: история исчезающего моря;2003;;Душанбе;;монография;Арал;;;геология;Аширбеков У.А., Зонн И.С. Арал: история исчезающего моря // Душанбе, 2003, 86 с.
Советов ;Новая концепция орбитальной теории палеоклимата;2003;;М.: МГУ им.М.В.Ломоносова;;монография;;;;геология;Большаков В.А. Новая концепция орбитальной теории палеоклимата // М.: МГУ им. М.В. Ломоносова, 2003, 256 с.
Шемин Г.Г.;Органическая геохимия нафтидов востока Сибирской платформы;2003;;Якутск: ЯФ Издательства СО РАН;;монография;ВС;;;геохимия, битуминозность;Каширцев В.А. Органическая геохимия нафтидов востока Сибирской платформы // Якутск: ЯФ Изд-ва СО РАН, 2003, с.160
;Комплексирование геофизических методов;2003;;Якутск: ЯГУ;;учебное пособие;ВС;;;геология, ГИС;Берзин А. Г. Комплексирование геофизических методов. Учебное пособие //  Якутск, 2003, с.79
;Временное положение об этапах и стадиях геологоразведочных работ на нефть и газ.;2001;;;Минеральные ресурсы России.Приложение № 3;техническая литература, регламенты;;;;геология;"Временное положение об этапах и стадиях геологоразведочных работ на нефть и газ.Приложение № 3 к журналу ""Минеральные ресурсы России"", 2001, с.244-308"
 Мананкова Т. И.;Изменения уровня морей России и развитие берегов: прошлое, настоящее, будущее;1999;;М.:ГЕОС;;монография;;;;геология;Каплин П.А., Селиванов А.О. Изменения уровня морей России и развитие берегов: прошлое, настоящее, будущее // М.: ГЕОС, 1999, 299 с.
Liu Qingmin, Yang Wuyang, Tian Lianyu;Каспий: загадки уровня;1998;;Махачкала;;монография;Каспий;;;геология;Бутаев А.М. Каспий: загадки уровня // Махачкала, 1998, 70 с.
Сизых В.И., Сизых А.И.;Осадочные последовательности рифея типовой местности (ретроспективный обзор седиметологических, палеогеографических, литолого-минералогических и петрогеохимических исследований);1998;;Уфа: Уфимский научный центр Институт геологии;;монография;;;;геология;Маслов А.В., Гареев Э.З., Крупенин М.Т. Осадочные последовательности рифея типовой местности (ретроспективный обзор седиметологических, палеогеографических, литолого-минералогических и петрогеохимических исследований) // Уфа: Уфимский НЦ, 1998.
Serra O.;Непско-Ботуобинский регион;1994;;Новосибирск: ОИГГМ СО РАН;;монография;;;;геология, нефтегазоносность;Конторович А.Э., Сурков В.С., Трофимук А.А., Шемин Г.Г. Непско-Ботуобинский регион // Новосибирск: ОИГГМ СО РАН, 1994, с.76
;Введение в теорию стратиграфии;1989;;М.: Наука;;монография;;;;стратиграфия;Мейен С.В. Введение в теорию стратиграфии // М: Наука, 1989, с.216
